지역코드,지역명,데이터 수집 시간,실시간 인구 수준,실시간 인구 메시지,인구 최소값,인구 최대값,남성 비율,여성 비율,0-9세 비율,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,60대 비율,70대 이상 비율,거주인구 비율,비거주인구 비율
POI001,강남 MICE 관광특구,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,43.1,56.9,0.2,6.5,27.5,26.2,20,11.9,5.4,2.2,27.2,72.8
POI002,동대문 관광특구,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,44.2,55.8,0.1,6.2,19.8,22.2,18.7,15.4,11.1,6.5,22.1,77.9
POI003,명동 관광특구,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,72000,74000,45.9,54.1,0.1,3.2,21.6,26.1,22.7,14.1,7.6,4.6,23.7,76.3
POI004,이태원 관광특구,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,10000,12000,46.5,53.5,0.1,3.6,28.6,28.3,16.9,12.5,5.7,4.4,26.1,73.9
POI005,잠실 관광특구,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,70000,72000,43.5,56.5,0.3,9.7,29.2,24.3,16.2,10.1,6.3,3.7,16.4,83.6
POI006,종로·청계 관광특구,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,38000,40000,53.2,46.8,0.0,2.8,17.9,17.9,18.3,18.1,13.7,11.3,27.4,72.6
POI007,홍대 관광특구,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,68000,70000,41.6,58.4,0.1,10.1,36.7,22.0,14.8,8.8,4.6,2.9,23.9,76.1
POI008,경복궁,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,49.7,50.3,0.7,7.2,18.7,21.1,19.5,17.9,9.3,5.6,37.6,62.4
POI009,광화문·덕수궁,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,34000,36000,48.4,51.6,0.1,3.1,19.5,24.8,24.2,16.4,7.6,4.4,27.2,72.8
POI010,보신각,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,53.3,46.7,0.0,2.1,22.7,28.0,22.9,13.5,6.8,4.0,37.9,62.1
POI011,서울 암사동 유적,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,400,54.8,45.2,4.2,21.4,8.5,10.5,13.4,16.9,14.2,10.8,41.4,58.6
POI012,창덕궁·종묘,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,14000,16000,54.3,45.7,0.2,2.2,17.0,18.3,20.3,20.8,13.0,8.3,40.5,59.5
POI013,가산디지털단지역,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,34000,36000,57.1,42.9,0.1,1.4,21.7,27.9,23.2,15.6,7.3,2.8,39.9,60.1
POI014,강남역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,66000,68000,46.3,53.7,0.0,6.5,31.2,26.5,18.0,10.2,4.7,2.9,27.7,72.3
POI015,건대입구역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,26000,28000,45.6,54.4,1.9,7.8,27.7,15.9,14.1,14.3,10.3,8.0,42.6,57.4
POI016,고덕역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,43.6,56.4,0.8,16.0,13.9,11.4,18.1,15.0,13.3,11.5,24.0,76.0
POI017,고속터미널역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,22000,24000,35.1,64.9,0.1,5.6,25.1,21.1,17.6,14.4,9.6,6.5,10.7,89.3
POI018,교대역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,22000,24000,52.0,48.0,1.6,4.0,16.9,22.0,20.4,17.5,10.4,7.3,50.6,49.4
POI019,구로디지털단지역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,30000,32000,52.7,47.3,0.1,1.7,21.7,28.8,23.5,15.0,6.0,3.2,46.1,53.9
POI020,구로역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,46.8,53.2,2.2,4.7,14.7,15.9,19.0,19.4,14.6,9.4,48.3,51.7
POI021,군자역,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,9000,9500,44.7,55.3,0.6,5.1,21.0,18.8,16.3,16.0,13.0,9.3,24.0,76.0
POI022,남구로역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,52.9,47.1,0.7,2.7,11.1,17.1,18.9,22.0,16.1,11.4,30.7,69.3
POI023,대림역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,49.2,50.8,2.2,5.3,11.8,12.7,15.4,21.3,17.8,13.4,65.8,34.2
POI024,동대문역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,8000,8500,47.5,52.5,0.0,3.8,16.1,16.3,17.6,19.8,15.6,10.9,18.0,82.0
POI025,뚝섬역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,14000,16000,50.0,50.0,1.1,5.5,26.4,23.2,16.6,14.1,8.4,4.8,55.7,44.3
POI026,미아사거리역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,10000,12000,40.1,59.9,0.4,12.9,16.4,14.4,15.3,15.5,13.3,11.8,14.8,85.2
POI027,발산역,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,45.6,54.4,0.5,6.1,20.0,22.8,19.1,14.4,10.1,7.0,26.2,73.8
POI028,북한산우이역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,48.3,51.7,3.4,5.8,11.8,9.9,13.4,18.7,19.3,17.6,59.6,40.4
POI029,사당역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,47.5,52.5,1.9,5.5,19.2,16.8,15.0,15.2,14.3,12.2,45.5,54.5
POI030,삼각지역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,52.0,48.0,2.1,5.4,21.9,20.6,17.6,15.3,10.5,6.6,36.5,63.5
POI031,서울대입구역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,18000,20000,47.3,52.7,2.4,6.1,26.5,18.2,13.2,12.8,11.0,9.7,44.8,55.2
