ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO23N000002,행사,행사,강릉커피축제,강원특별자치도,강릉시,5115010700,용강동,5115052000,중앙동,421504460834,강원도 강릉시 임영로131번길 6 (용강동),46274,마사225735,128.8919029,37.75294455,강릉대도호부 관아지 등,2022-10-06,2022-10-09,커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등,강릉문화재단,강원도 강릉시청,문화체육관광부+강원도청,033-647-6802,http://www.coffeefestival.net,프로그램+행사장안내 등,2022-12-07,4200000,강원도 강릉시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000003,행사,행사,전국생활문화축제 in강릉,강원특별자치도,강릉시,5115010300,명주동,5115052000,중앙동,421504460103,강원도 강릉시 경강로 2021번길9-1,44970,마사224732,128.8898121,37.75040333,강릉명주예술마당,2022-10-27,2022-10-30,전국 생활문화 활동 발표+기획 프로그램 등,강릉문화재단,강원도 강릉시청,지역문화진흥원,033-647-6808,,,2022-12-07,4200000,강원도 강릉시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000004,행사,행사,2022 강릉와인축제,강원특별자치도,강릉시,5115010500,임당동,5115052000,중앙동,421503000145,강원도 강릉시 경강로 2111,45015,마사230738,128.8974693,37.75589225,강릉 월화거리 일원(문선빌딩 방면),2022-12-09,2022-12-11,도전 와인 골든벨+선셋 와인 아워+시음존 등 운영,강릉문화재단,강원도 강릉시청,강원도청,033-647-6802,https://www.gncaf.or.kr/contents.asp?page=482,축제소개+사진자료 등,2022-12-07,4200000,강원도 강릉시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000005,행사,행사,2022 강릉누들축제,강원특별자치도,강릉시,5115010500,임당동,5115052000,중앙동,421503000145,강원도 강릉시 경강로 2112,25541,마사231737,128.8981649,37.75538612,강릉 월화거리 일원(홈플러스 방면),2022-12-16,2022-12-18,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등",강원도 강릉시청,강원도 강릉시청,강원도 강릉시청,033-640-5130,,,2022-12-07,4200000,강원도 강릉시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000006,행사,행사,군위 삼장군단오축제,대구광역시,군위군,2772032029,효령면 장군리,2772032000,효령면,477204742234,대구광역시 군위군 효령면 장군당 1길 24-6,38333,라마967923,,,효령면 고지바위권역다목적센터 일원,2022-06-03,2022-06-03,단오축제,군위문화원,군위문화원,대구광역시청+대구광역시 군위군청,054-380-6866,,,2023-07-13,5140000,경상북도 군위군,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000007,행사,행사,김수환추기경 사랑과 나눔 문화축전,대구광역시,군위군,2772025034,군위읍 용대리,2772025000,군위읍,477203018054,대구광역시 군위군 군위읍 군위금성로 270,38333,라바988044,,,김수환추기경 사랑과 나눔공원 일원,2022-10-29,2022-10-29,김수환추기경 문화축전,매일신문사,매일신문사,대구광역시청+대구광역시 군위군청,054-380-6065,,,2023-07-13,5140000,경상북도 군위군,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000008,행사,행사,구례산수유꽃축제,,,,,,,,,,,127.4705342,35.318767,산동면,2023-03-11,2023-03-19,산수유꽃 프로그램,구례산수유꽃축제추진위원회,구례산수유꽃축제추진위원회,전라남도 구례군청,061-780-2390,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000100&menuNo=104001002000,,2023-12-01,4870000,전라남도 구례군,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000009,행사,행사,2016 안양 시민축제,경기도,안양시,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),24364,다사521324,126.9613287,37.390137,평촌중앙공원+삼덕공원+범계로데오,2016-09-24,2016-09-25,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000010,행사,행사,2016 안양 아줌마축제,경기도,안양시,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),24341,다사521324,126.9613287,37.390137,평촌중앙공원,2016-05-28,2016-05-29,아줌마 축제 기념공연+ 여성동호회공연+ 주부가요제+ 홍보체험부스+ 김치왕선발대회 등,경인일보,(재)안양문화예술재단,경기도 안양시+ 안양시여성단체협의회,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000011,행사,행사,2016 제5회 안양공공예술프로젝트,경기도,안양시,,,,,411713183019,경기도 안양시 만안구 예술공원로 180(안양동),24399,다사491357,126.925606,37.419406,안양예술공원,2016-10-15,2016-12-15,개막식+ 체험부스운영+ 공공예술작품 전시 및 공연,(재)안양문화예술재단,경기도 안양시,,031-687-0916,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
